ArtNr,Label,Brand,Size,Material,Form
1171 400.536.000,"Duschenwanne Laufen Pro Superflach 180 x 100 x 3,4 cm auch für flächenbündigen Einbau, Ablaufabdeckung Edelstahl lackiert in Wannenfarbe, abnehmbar Ablaufloch Ø 90 mm Ablauf Längsseite Mitte Mineralwerkstoff Marbond Oberfläche mit Struktur Weiss matt",Laufen,180 x 100,Stahl-Email,Rechteckig

1171 372.536.000,"Duschenwanne Laufen Pro Superflach 140 x 90 x 4,2 cm auch für flächenbündigen Einbau, Ablaufabdeckung Edelstahl lackiert in Wannenfarbe, abnehmbar Ablaufloch Ø 90 mm Ablauf Schmalseite Mitte Mineralwerkstoff Marbond Oberfläche mit Struktur Weiss matt",Laufen,140 x 90,Stahl-Email,Rechteckig

1171 388.536.000,"Duschenwanne Laufen Pro Superflach 140 x 80 x 3 cm auch für flächenbündigen Einbau, Ablaufabdeckung Edelstahl lackiert in Wannenfarbe, abnehmbar Ablaufloch Ø 90 mm Ablauf Längsseite Mitte Mineralwerkstoff Marbond Oberfläche mit Struktur Weiss matt",Laufen,140 x 80,Stahl-Email,Rechteckig

1171 357.536.000,"Duschenwanne Laufen Pro Superflach 140 x 140 x 4 cm auch für flächenbündigen Einbau, Ablaufabdeckung Edelstahl lackiert in Wannenfarbe, abnehmbar Ablaufloch Ø 90 mm Ablauf Längsseite Mitte Mineralwerkstoff Marbond Oberfläche mit Struktur Weiss matt",Laufen,140 x 140,Stahl-Email,Quadratisch

1171 386.536.000,"Duschenwanne Laufen Pro Superflach, 90 x 80 x 3 cm, auch für flächenbündigen Einbau geeignet, Ablaufabdeckung Edelstahl lackiert in Wannenfarbe, abnehmbar, Ablaufloch Ø 90 mm, Mineralwerkstoff Marbond Oberfläche mit Struktur Weiss matt",Laufen,90 x 80,Stahl-Email,Rechteckig

1171 401.536.000,"Duschenwanne Laufen Pro Superflach 200 x 90 x 3,6 cm auch für flächenbündigen Einbau, Ablaufabdeckung Edelstahl lackiert in Wannenfarbe, abnehmbar Ablaufloch Ø 90 mm Ablauf Längsseite Mitte Mineralwerkstoff Marbond Oberfläche mit Struktur Weiss matt",Laufen,200 x 90,Stahl-Email,Rechteckig

1171 361.536.000,"Duschenwanne Laufen Pro Superflach 110 x 80 x 3,3 cm auch für flächenbündigen Einbau, Ablaufabdeckung Edelstahl lackiert in Wannenfarbe, abnehmbar Ablaufloch Ø 90 mm Ablauf Schmalseite Mitte Mineralwerkstoff Marbond Oberfläche mit Struktur Weiss matt",Laufen,110 x 80,Stahl-Email,Rechteckig

1171 375.536.000,"Duschenwanne Laufen Pro Superflach 150 x 90 x 4,2 cm auch für flächenbündigen Einbau, Ablaufabdeckung Edelstahl lackiert in Wannenfarbe, abnehmbar Ablaufloch Ø 90 mm Ablauf Schmalseite Mitte Mineralwerkstoff Marbond Oberfläche mit Struktur Weiss matt",Laufen,150 x 90,Stahl-Email,Rechteckig

1171 385.536.000,"Duschenwanne Laufen Pro Superflach 180 x 90 x 4,6 cm auch für flächenbündigen Einbau, Ablaufabdeckung Edelstahl lackiert in Wannenfarbe, abnehmbar Ablaufloch Ø 90 mm Ablauf Schmalseite Mitte Mineralwerkstoff Marbond Oberfläche mit Struktur Weiss matt",Laufen,180 x 90,Stahl-Email,Rechteckig

1171 384.536.000,"Duschenwanne Laufen Pro Superflach, 180 x 80 x 4,6 cm, auch für flächenbündigen Einbau geeignet, Ablaufabdeckung Edelstahl lackiert in Wannenfarbe, abnehmbar, Ablaufloch Ø 90 mm, Mineralwerkstoff Marbond Oberfläche mit Struktur Weiss matt",Laufen,180 x 80,Stahl-Email,Rechteckig

1171 369.536.000,"Duschenwanne Laufen Pro Superflach 130 x 90 x 4,2 cm auch für flächenbündigen Einbau, Ablaufabdeckung Edelstahl lackiert in Wannenfarbe, abnehmbar Ablaufloch Ø 90 mm Ablauf Schmalseite Mitte Mineralwerkstoff Marbond Oberfläche mit Struktur Weiss matt",Laufen,130 x 90,Stahl-Email,Rechteckig

1171 367.536.000,"Duschenwanne Laufen Pro Superflach 130 x 70 x 3,8 cm auch für flächenbündigen Einbau, Ablaufabdeckung Edelstahl lackiert in Wannenfarbe, abnehmbar Ablaufloch Ø 90 mm Ablauf Schmalseite Mitte Mineralwerkstoff Marbond Oberfläche mit Struktur Weiss matt",Laufen,130 x 70,Stahl-Email,Rechteckig

1171 355.536.000,"Duschenwanne Laufen Pro Superflach 100 x 100 x 3,3 cm auch für flächenbündigen Einbau, Ablaufabdeckung Edelstahl lackiert in Wannenfarbe, abnehmbar Ablaufloch Ø 90 mm Ablauf Längsseite Mitte Mineralwerkstoff Marbond Oberfläche mit Struktur Weiss matt",Laufen,100 x 100,Stahl-Email,Quadratisch

1171 380.536.000,"Duschenwanne Laufen Pro Superflach, 170 x 70 x 4,6 cm, auch für flächenbündigen Einbau geeignet, Ablaufabdeckung Edelstahl lackiert in Wannenfarbe, abnehmbar, Ablaufloch Ø 90 mm, Mineralwerkstoff Marbond Oberfläche mit Struktur Weiss matt",Laufen,170 x 70,Stahl-Email,Rechteckig

