ArtNr,Label,Brand,Size,Material,Form
1441 597.000.000,"Duschenwannenträger Schedel, 1200 x 700 x 65 mm, Höhe 170 mm, Schmidlin, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,

1441 338.000.000,"Duschenwannenträger Schedel, 1400 x 900 x 18 mm, Höhe 130 mm, Kaldewei Cayonoplan, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 641.000.000,"Duschenwannenträger Schedel, 1000 x 800 x 25 mm, Höhe 140 mm, Kaldewei Superplan, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 404.000.000,"Duschenwannenträger Schedel, 1800 x 900 x 20 mm, Höhe 140 mm, Kaldewei Superplan Zero, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 688.000.000,"Duschenwannenträger Schedel, 1200 x 900 x 65 mm, Höhe 170 mm, Kaldewei Duschplan, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 022.000.000,"Duschenwannenträger Schedel, 900 x 750 x 32 mm, Höhe 100 mm, Kaldewei Calima, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 024.000.000,"Duschenwannenträger Schedel, 900 x 900 x 32 mm, Höhe 100 mm, Kaldewei Calima, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 675.000.000,"Duschenwannenträger Schedel, 1800 x 1000 x 25 mm, Höhe 140 mm, Kaldewei Superplan, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 386.000.000,"Duschenwannenträger Schedel, 1400 x 1000 x 20 mm, Höhe 140 mm, Kaldewei Superplan Zero, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 358.000.000,"Duschenwannenträger Schedel, 900 x 900 x 20 mm, Höhe 140 mm, Kaldewei Superplan Zero, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 331.000.000,"Duschenwannenträger Schedel, 1100 x 800 x 25 mm, Höhe 130 mm, Kaldewei Cayonoplan, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 595.000.000,"Duschenwannenträger Schedel, 1000 x 1000 x 65 mm, Höhe 170 mm, Schmidlin, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,

1441 056.000.000,"Duschenwannenträger Schedel, 1700 x 700 x 32 mm, Höhe 100 mm, Kaldewei Calima, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 596.000.000,"Duschenwannenträger Schedel, 1000 x 1000 x 65 mm, Höhe 170 mm, Kaldewei Duschplan, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 384.000.000,"Duschenwannenträger Schedel, 1400 x 800 x 20 mm, Höhe 140 mm, Kaldewei Superplan Zero, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 370.000.000,"Duschenwannenträger Schedel, 1200 x 700 x 20 mm, Höhe 140 mm, Kaldewei Superplan Zero, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 399.000.000,"Duschenwannenträger Schedel, 1700 x 750 x 20 mm, Höhe 140 mm, Kaldewei Superplan Zero, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 607.000.000,"Duschenwannenträger Schedel, 1000 x 800 x 25 mm, Höhe 140 mm, Schmidlin, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,

1441 363.000.000,"Duschenwannenträger Schedel, 1000 x 1000 x 20 mm, Höhe 140 mm, Kaldewei Superplan Zero, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 630.000.000,"Duschenwannenträger Schedel, 800 x 800 x 18 mm, Höhe 130 mm, Kaldewei Cayonoplan, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 684.000.000,"Duschenwannenträger Schedel, 1200 x 900 x 18 mm, Höhe 130 mm, Kaldewei Cayonoplan, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 374.000.000,"Duschenwannenträger Schedel, 1200 x 1000 x 20 mm, Höhe 140 mm, Kaldewei Superplan Zero, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 669.000.000,"Duschenwannenträger Schedel, 1700 x 750 x 25 mm, Höhe 140 mm, Kaldewei Superplan, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 383.000.000,"Duschenwannenträger Schedel, 1400 x 750 x 20 mm, Höhe 140 mm, Kaldewei Superplan Zero, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 623.000.000,"Duschenwannenträger Schedel, Eck, 1000 x 65 mm, Höhe 170 mm, Schmidlin, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,

1441 679.000.000,"Duschenwannenträger Schedel, 1000 x 800 x 18 mm, Höhe 130 mm, Kaldewei Cayonoplan, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 348.000.000,"Duschenwannenträger Schedel, 1700 x 750 x 18 mm, Höhe 130 mm, Kaldewei Cayonoplan, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 330.000.000,"Duschenwannenträger Schedel, 1100 x 750 x 18 mm, Höhe 130 mm, Kaldewei Cayonoplan, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 629.000.000,"Duschenwannenträger Schedel, 1200 x 900 x 65 mm, Höhe 170 mm, Schmidlin, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,

1441 029.000.000,"Duschenwannenträger Schedel, 1000 x 1000 x 32 mm, Höhe 100 mm, Kaldewei Calima, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 619.000.000,"Duschenwannenträger Schedel, 1600 x 900 x 35 mm, Höhe 140 mm, Schmidlin, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,

1441 660.000.000,"Duschenwannenträger Schedel, 1500 x 800 x 25 mm, Höhe 140 mm, Kaldewei Superplan, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 587.000.000,"Duschenwannenträger Schedel, 1200 x 900 x 150 mm, Höhe 305 mm, Schmidlin, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,

1441 037.000.000,"Duschenwannenträger Schedel, 1200 x 900 x 32 mm, Höhe 100 mm, Kaldewei Calima, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 598.000.000,"Duschenwannenträger Schedel, 1200 x 800 x 65 mm, Höhe 170 mm, Schmidlin, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,

1441 047.000.000,"Duschenwannenträger Schedel, 1400 x 1000 x 32 mm, Höhe 100 mm, Kaldewei Calima, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 606.000.000,"Duschenwannenträger Schedel, 1000 x 750 x 25 mm, Höhe 140 mm, Schmidlin, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,

1441 594.000.000,"Duschenwannenträger Schedel, 1000 x 900 x 65 mm, Höhe 170 mm, Kaldewei Duschplan, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 025.000.000,"Duschenwannenträger Schedel, 1000 x 700 x 32 mm, Höhe 100 mm, Kaldewei Calima, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 680.000.000,"Duschenwannenträger Schedel, 1000 x 900 x 18 mm, Höhe 130 mm, Kaldewei Cayonoplan, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 044.000.000,"Duschenwannenträger Schedel, 1400 x 750 x 32 mm, Höhe 100 mm, Kaldewei Calima, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 049.000.000,"Duschenwannenträger Schedel, 1500 x 750 x 32 mm, Höhe 100 mm, Kaldewei Calima, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 643.000.000,"Duschenwannenträger Schedel, 1000 x 1000 x 25 mm, Höhe 140 mm, Kaldewei Superplan, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 676.000.000,"Duschenwannenträger Schedel, 800 x 750 x 140 mm, Höhe 305 mm, Kaldewei Sanidusch, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 690.000.000,"Duschenwannenträger Schedel, Eck 900 x 25 mm, Höhe 130 mm, Kaldewei Arrondo, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 674.000.000,"Duschenwannenträger Schedel, 1800 x 900 x 25 mm, Höhe 140 mm, Kaldewei Superplan, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 398.000.000,"Duschenwannenträger Schedel, 1700 x 700 x 20 mm, Höhe 140 mm, Kaldewei Superplan Zero, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 392.000.000,"Duschenwannenträger Schedel, 1500 x 1500 x 20 mm, Höhe 140 mm, Kaldewei Superplan Zero, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

