Typ,Artikelnummer,Menge,Bezeichnung
,1311 201.000.000,1.0,"Schallschutzset Laufen, für Installationsrahme zur Erfüllung der"
,,,
,1171 393.536.000,1.0,"Duschwanne Laufen Pro Superflach, 160 x 80 x 3,2 cm, auch für flächenbündigen"
ALT,1171 393.241.000,1.0,"Duschwanne Laufen Pro Superflach, 160 x 80 x 3,2 cm, auch für flächenbündigen"
ALT,1171 393.841.000,1.0,"Duschwanne Laufen Pro Superflach, 160 x 80 x 3,2 cm, auch für flächenbündigen"
ALT,1171 393.136.000,1.0,"Duschwanne Laufen Pro Superflach, 160 x 80 x 3,2 cm, auch für flächenbündigen"
ALT,1171 393.535.000,1.0,"Duschwanne Laufen Pro Superflach, 160 x 80 x 3,2 cm, auch für flächenbündigen"
,1171 405.000.000,1.0,"Duschwannengarnitur Laufen Pro, für Ablaufloch Ø 90 mm, ohne Ablaufhaube,"
,1461 002.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 2,5 m, 2 Wannen-Eckdichtungen Butyl,"
OR,1461 004.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 3,4 m, 2 Wannen-Eckdichtungen Butyl,"
,1311 189.000.000,1.0,"Duschwanneninstallationsrahmen Laufen Ineo, Breite 800 mm, 1400 - 1800 mm,"
,1311 201.000.000,1.0,"Schallschutzset Laufen, für Installationsrahme zur Erfüllung der"
,,,
,1171 368.536.000,1.0,"Duschwanne Laufen Pro Superflach, 130 x 80 x 4,2 cm, auch für flächenbündigen"
ALT,1171 368.241.000,1.0,"Duschwanne Laufen Pro Superflach, 130 x 80 x 4,2 cm, auch für flächenbündigen"
ALT,1171 368.841.000,1.0,"Duschwanne Laufen Pro Superflach, 130 x 80 x 4,2 cm, auch für flächenbündigen"
ALT,1171 368.136.000,1.0,"Duschwanne Laufen Pro Superflach, 130 x 80 x 4,2 cm, auch für flächenbündigen"
ALT,1171 368.535.000,1.0,"Duschwanne Laufen Pro Superflach, 130 x 80 x 4,2 cm, auch für flächenbündigen"
,1171 405.000.000,1.0,"Duschwannengarnitur Laufen Pro, für Ablaufloch Ø 90 mm, ohne Ablaufhaube,"
,1461 002.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 2,5 m, 2 Wannen-Eckdichtungen Butyl,"
OR,1461 003.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 3 m, 2 Wannen-Eckdichtungen Butyl,"
,1311 188.000.000,1.0,"Duschwanneninstallationsrahmen Laufen Ineo, Breite 800 mm, 1000 - 1400 mm,"
,1311 200.000.000,1.0,"Schallschutzset Laufen, für Installationsrahme zur Erfüllung der"
,,,
,1171 377.536.000,1.0,"Duschwanne Laufen Pro Superflach, 160 x 75 x 4,2 cm, auch für flächenbündigen"
ALT,1171 377.241.000,1.0,"Duschwanne Laufen Pro Superflach, 160 x 75 x 4,2 cm, auch für flächenbündigen"
