ArtNr,Label,Hersteller,Size,Hahnloch,Ueberlauf,Ablage
1441 759.000.000,"Badewannenträger Schedel, 1750 x 850 mm, Höhe 620 mm, Schmidlin Aria 50, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 565.000.000,"Badewannenträger Schedel, 1700 x 750 mm, Höhe 610 mm, V & B Legato, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 765.000.000,"Badewannenträger Schedel, 1850 x 850 mm, Höhe 620 mm, Schmidlin Aria 50, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 609.000.000,"Badewannenträger Schedel, 1800 x 800 mm, Höhe 600 mm, V & B Oberon 2.0 Solo, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 703.000.000,"Badewannenträger Alterna, Schenkellänge 1400 mm, Eck, Höhe 570 mm, Alterna marea, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Alterna,,,,

1441 449.000.000,"Badewannenträger Schedel, 1800 x 800 mm, Höhe 540 mm, Kaldewei Puro Next/- Star, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,,

1441 556.000.000,"Badewannenträger Schedel, 1900 x 1000 mm, Höhe 570 mm, Kaldewei Asymmetric Duo 744, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,,

1441 453.000.000,"Badewannenträger Schedel, 1700 x 700 mm, Höhe 540 mm, Kaldewei Puro Next Combi, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,,

1441 558.000.000,"Badewannenträger Schedel, 1800 x 800 mm, Höhe 570 mm, Kaldewei Cayono Duo, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,,

1441 521.000.000,"Badewannenträger Schedel, 1800 x 800 mm, Höhe 570 mm, Kaldewei Conoduo, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,,

1441 457.000.000,"Badewannenträger Schedel, 1900 x 900 mm, Höhe 540 mm, Kaldewei Puro Next Combi / Duo, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,,

1441 470.000.000,"Badewannenträger Schedel, 1650 x 700 mm, Höhe 570 mm, Schmidlin Norm Classic, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 527.000.000,"Badewannenträger Schedel, 1700 x 750 mm, Höhe 555 mm, Kaldewei Puro, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,,

1441 456.000.000,"Badewannenträger Schedel, 1800 x 800 mm, Höhe 540 mm, Kaldewei Puro Next Combi / Duo, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,,

1441 485.000.000,"Badewannenträger Schedel, 1700 x 750 mm, Höhe 570 mm, Schmidlin Contura Duo, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 491.000.000,"Badewannenträger Schedel, 1600 x 750 mm, Höhe 555 mm, Schmidlin Kombi, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 486.000.000,"Badewannenträger Schedel, 1800 x 800 mm, Höhe 570 mm, Schmidlin Contura Duo, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 757.000.000,"Badewannenträger Schedel, 1750 x 750 mm, Höhe 620 mm, Schmidlin Aria 50, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 501.000.000,"Badewannenträger Schedel, 1700 x 750/600 mm, Höhe 570 mm, Schmidlin Luna, Fussteil rechts, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 469.000.000,"Badewannenträger Schedel, 1600 x 700 mm, Höhe 570 mm, Schmidlin Norm Classic, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 460.000.000,"Badewannenträger Schedel, 1700 x 750 mm, Höhe 555 mm, Schmidlin Vela links, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 474.000.000,"Badewannenträger Schedel, 1600 x 700 mm, Höhe 570 mm, Schmidlin Ocean, Duschteil rechts, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 756.000.000,"Badewannenträger Schedel, 1700 x 850 mm, Höhe 620 mm, Schmidlin Aria 50, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 563.000.000,"Badewannenträger Schedel, 1800 x 800 mm, Höhe 650 mm, V & B Squaro, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 428.000.000,"Badewannenträger Schedel, 1700 x 750 mm, Höhe 570 mm, Schmidlin Kombi, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 549.000.000,"Badewannenträger Schedel, 1800 x 800 mm, Höhe 600 mm, Kaldewei Centro Duo, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,,

1441 702.000.000,"Badewannenträger Alterna, 1800 x 800 mm, Höhe 600 mm, Alterna marea, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Alterna,,,,

1441 531.000.000,"Badewannenträger Schedel, 1700 x 750 mm, Höhe 555 mm, Kaldewei Puro, mit seitlichem Überlauf vorne, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,mit,

1441 573.000.000,"Badewannenträger Schedel, 1700 x 750 mm, Höhe 600 mm, V & B Oberon 2.0, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 490.000.000,"Badewannenträger Schedel, 1500 x 750 mm, Höhe 555 mm, Schmidlin Kombi, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 572.000.000,"Badewannenträger Schedel, 1900 x 900 mm, Höhe 600 mm, V & B Oberon, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 544.000.000,"Badewannenträger Schedel, 2100 x 800 mm, 6- eck, Höhe 570 mm, Kaldewei Vaio Duo 6, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,,

1441 473.000.000,"Badewannenträger Schedel, 1800 x 700 mm, Höhe 570 mm, Schmidlin Norm Classic, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 494.000.000,"Badewannenträger Schedel, 1800 x 800 mm, Höhe 570 mm, Schmidlin Kombi, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 761.000.000,"Badewannenträger Schedel, 1800 x 800 mm, Höhe 620 mm, Schmidlin Aria 50, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 464.000.000,"Badewannenträger Schedel, 1700 x 1300 mm, Höhe 555 mm, Schmidlin Vela links, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 704.000.000,"Badewannenträger Alterna, Schenkellänge 1400 mm, Eck, Höhe 570 mm, Alterna marea, mit Ablage, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Alterna,,,,

1441 406.000.000,"Badewannenträger Schedel, 1500 x 800 mm, Höhe 570 mm, Schmidlin Duett, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 552.000.000,"Badewannenträger Schedel, 1900 x 900 mm, Höhe 570 mm, Kaldewei Silenio, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,,

1441 487.000.000,"Badewannenträger Schedel, 1800 x 800 mm, Höhe 570 mm, Schmidlin Contura Comfort, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 503.000.000,"Badewannenträger Schedel, 1800 x 800 mm, Höhe 570 mm, Schmidlin Free, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 564.000.000,"Badewannenträger Schedel, 1700 x 700 mm, Höhe 610 mm, V & B Legato, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 508.000.000,"Badewannenträger Schedel, 1800 x 800 mm, Höhe 570 mm, Schmidlin Duo, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 706.000.000,"Badewannenträger Alterna, Schenkellänge 1450 mm, 5- Eck, Höhe 600 mm, Alterna marea, Duschteil links/rechts, mit Ablage, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Alterna,,,,

1441 502.000.000,"Badewannenträger Schedel, 1700 x 750 mm, Höhe 570 mm, Schmidlin Free, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 447.000.000,"Badewannenträger Schedel, 1700 x 750 mm, Höhe 540 mm, Kaldewei Puro Next/- Star, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,,

