ArtNr,Label,Hersteller,Size,Hahnloch,Ueberlauf,Ablage
1424 747.523.000,"Duschrinne Schaco Cerafloor Select, Länge 110 cm, mit Gefälle, zu Ablaufgehäuse Dallflex, ablängbar, für Belagstärke 10 - 32 mm, (ohne Kleberbett) Edelstahl matt",Andere,,,,

1424 722.523.000,"Duschrinne Schaco Cerawall Select, Länge 90 cm, mit Gefälle, zu Ablaufgehäuse Dallflex, ablängbar, für Belagstärke 10 - 24 mm, (ohne Kleberbett) Edelstahl matt",Andere,,,,

1424 735.523.000,"Duschrinne Schaco Cerawall Pure mit Gefälle Länge 100 cm, ablängbar für Belagstärke 10 - 32 mm (ohne Kleberbett) Edelstahl matt",Andere,,,,

1424 888.523.000,"Duschrinne Schaco Aqua Swissline Ineva W, Gehäuselänge 900 mm, Einbau an der Wand, geeignet für fugenlose Bodenbeläge, (ausgeschlossen Naturofloor), Rahmen 15 x 4 mm, 3- seitig Wandzarge 12 - 22 mm einstellbar Edelstahl matt",Andere,,,,

1424 749.523.000,"Duschrinne Schaco Cerafloor Select, Länge 120 cm, mit Gefälle, zu Ablaufgehäuse Dallflex, ablängbar, für Belagstärke 10 - 32 mm, (ohne Kleberbett) Edelstahl matt",Andere,,,,

1424 727.523.000,"Duschrinne Schaco Cerawall Select, Länge 140 cm, mit Gefälle, zu Ablaufgehäuse Dallflex, ablängbar, für Belagstärke 10 - 24 mm, (ohne Kleberbett) Edelstahl matt",Andere,,,,

1424 897.523.000,"Duschrinne Schaco Aqua Swissline Ineva F, Gehäuselänge 1000 mm, Einbau in der Fläche, geeignet für fugenlose Bodenbeläge, (ausgeschlossen Naturofloor), mit Rahmen 15 x 4 mm, 4- seitig Edelstahl matt",Andere,,,,

1424 728.523.000,"Duschrinne Schaco Cerawall Select, Länge 150 cm, mit Gefälle, zu Ablaufgehäuse Dallflex, ablängbar, für Belagstärke 10 - 24 mm, (ohne Kleberbett) Edelstahl matt",Andere,,,,

1424 895.523.000,"Duschrinne Schaco Aqua Swissline Ineva F, Gehäuselänge 800 mm, Einbau in der Fläche, geeignet für fugenlose Bodenbeläge, (ausgeschlossen Naturofloor), mit Rahmen 15 x 4 mm, 4- seitig Edelstahl matt",Andere,,,,

1424 898.523.000,"Duschrinne Schaco Aqua Swissline Ineva F, Gehäuselänge 1100 mm, Einbau in der Fläche, geeignet für fugenlose Bodenbeläge, (ausgeschlossen Naturofloor), mit Rahmen 15 x 4 mm, 4- seitig Edelstahl matt",Andere,,,,

1424 724.523.000,"Duschrinne Schaco Cerawall Select, Länge 110 cm, mit Gefälle, zu Ablaufgehäuse Dallflex, ablängbar, für Belagstärke 10 - 24 mm, (ohne Kleberbett) Edelstahl matt",Andere,,,,

1424 725.523.000,"Duschrinne Schaco Cerawall Select, Länge 120 cm, mit Gefälle, zu Ablaufgehäuse Dallflex, ablängbar, für Belagstärke 10 - 24 mm, (ohne Kleberbett) Edelstahl matt",Andere,,,,

1424 741.523.000,"Duschrinne Schaco Cerafloor Select, Länge 80 cm, mit Gefälle, zu Ablaufgehäuse Dallflex, ablängbar, für Belagstärke 10 - 32 mm, (ohne Kleberbett) Edelstahl matt",Andere,,,,

1424 702.523.000,"Duschrinne Schaco Cerawall Individual, Länge 90 cm, mit Gefälle, zu Ablaufgehäuse Dallflex, ablängbar, für Belagstärke 10 - 24 mm, (ohne Kleberbett) Edelstahl matt",Andere,,,,

1424 881.523.000,"Duschrinne Schaco CeraFrame Individual, ohne Gefälle 300 x 50 mm, ablängbar für Belagstärke 12 - 38 mm (ohne Kleberbett) Edelstahl matt",Andere,,,,

1424 721.523.000,"Duschrinne Schaco Cerawall Select, Länge 80 cm, mit Gefälle, zu Ablaufgehäuse Dallflex, ablängbar, für Belagstärke 10 - 24 mm, (ohne Kleberbett) Edelstahl matt",Andere,,,,

1424 892.523.000,"Duschrinne Schaco Aqua Swissline Ineva W, Gehäuselänge 1300 mm, Einbau an der Wand, geeignet für fugenlose Bodenbeläge, (ausgeschlossen Naturofloor), Rahmen 15 x 4 mm, 3- seitig Wandzarge 12 - 22 mm einstellbar Edelstahl matt",Andere,,,,

1424 894.523.000,"Duschrinne Schaco Aqua Swissline Ineva F, Gehäuselänge 700 mm, Einbau in der Fläche, geeignet für fugenlose Bodenbeläge, (ausgeschlossen Naturofloor), mit Rahmen 15 x 4 mm, 4- seitig Edelstahl matt",Andere,,,,

1424 886.523.000,"Duschrinne Schaco Aqua Swissline Ineva W, Gehäuselänge 700 mm, Einbau an der Wand, geeignet für fugenlose Bodenbeläge, (ausgeschlossen Naturofloor), Rahmen 15 x 4 mm, 3- seitig Wandzarge 12 - 22 mm einstellbar Edelstahl matt",Andere,,,,

1424 726.523.000,"Duschrinne Schaco Cerawall Select, Länge 130 cm, mit Gefälle, zu Ablaufgehäuse Dallflex, ablängbar, für Belagstärke 10 - 24 mm, (ohne Kleberbett) Edelstahl matt",Andere,,,,

1424 885.523.000,"Duschrinne Schaco Aqua Swissline Ineva W, Gehäuselänge 600 mm, Einbau an der Wand, geeignet für fugenlose Bodenbeläge, (ausgeschlossen Naturofloor), Rahmen 15 x 4 mm, 3- seitig Wandzarge 12 - 22 mm einstellbar Edelstahl matt",Andere,,,,

1424 743.523.000,"Duschrinne Schaco Cerafloor Select, Länge 90 cm, mit Gefälle, zu Ablaufgehäuse Dallflex, ablängbar, für Belagstärke 10 - 32 mm, (ohne Kleberbett) Edelstahl matt",Andere,,,,

1424 733.523.000,"Duschrinne Schaco Cerawall Pure mit Gefälle Länge 90 cm, ablängbar für Belagstärke 10 - 32 mm (ohne Kleberbett) Edelstahl matt",Andere,,,,

1424 653.490.000,"Duschrinne Axor Drain, Breite 90 cm, Fertigset bestehend aus Designabdeckung, Installationsset, Dryphon, Ablaufleitstung 53 l/min, integriertes Gefälle, höhenverstellbar Fliesenstärke 7- 18 mm, Montageart: frei im Raum Edelstahloptik",Andere,,,,

1424 663.490.000,"Duschrinne Axor Drain, Breite 90 cm, Fertigset bestehend aus Designabdeckung, Installationsset, Dryphon, Ablaufleitstung 55 l/min, integriertes Gefälle, höhenverstellbar Fliesenstärke 7- 18 mm, Montageart: wandangebunden Edelstahloptik",Andere,,,,

1424 662.490.000,"Duschrinne Axor Drain, Breite 80 cm, Fertigset bestehend aus Designabdeckung, Installationsset, Dryphon, Ablaufleitstung 55 l/min, integriertes Gefälle, höhenverstellbar Fliesenstärke 7- 18 mm, Montageart: wandangebunden Edelstahloptik",Andere,,,,

1424 651.490.000,"Duschrinne Axor Drain, Breite 70 cm, Fertigset bestehend aus Designabdeckung, Installationsset, Dryphon, Ablaufleitstung 53 l/min, integriertes Gefälle, höhenverstellbar Fliesenstärke 7- 18 mm, Montageart: frei im Raum Edelstahloptik",Andere,,,,

