"Urinal Beschreibung";"Urinal GTIN";"Unsere Art-Nr";"Element Art-Nr";"Element GTIN";"Element Beschreibung"
"Urinal Starck 3, standard, ohne Zielobjekt";"4021534346514";"";"3612 403";"4064746030840";"Urinoirelement Geberit- Duofix Typ 112/130, Höhe 112 - 130 cm, Breite 50 cm, Rohbauset für Steuerung Hytronic und HyTouch, Montagerahmen, Füsse verstellbar, Absperrventil ½"""
"Urinal Preda, standard";"4025416529828";"3421 202";"3612 404";"4064746030895";"Urinoirelement Geberit- Duofix, Montagerahmen, Füsse verstellbar, Wasseranschluss ½"", Breite 50 cm, Höhe 112 - 130 cm, für integrierte Steuerung, für Urinoirs Preda / Selva"
"Urinal Preda, standard";"4025416529873";"3421 203";"3612 404";"4064746030895";"Urinoirelement Geberit- Duofix, Montagerahmen, Füsse verstellbar, Wasseranschluss ½"", Breite 50 cm, Höhe 112 - 130 cm, für integrierte Steuerung, für Urinoirs Preda / Selva"
"Urinal Preda, standard";"4025416529903";"";"3612 404";"4064746030895";"Urinoirelement Geberit- Duofix, Montagerahmen, Füsse verstellbar, Wasseranschluss ½"", Breite 50 cm, Höhe 112 - 130 cm, für integrierte Steuerung, für Urinoirs Preda / Selva"
"Urinal Preda, standard";"4025416529033";"3421 201";"3612 407";"4064746030970";"Urinoirelement Geberit- Duofix, Montagerahmen, Füsse verstellbar, Wasseranschluss ½"", Breite 50 cm, Höhe 112 - 130 cm, für Urinoirsteuerungen, für Urinoirs Preda / Selva"
"Urinal Renova S, standard";"4064746027246";"";"3612 403";"4064746030840";"Urinoirelement Geberit- Duofix Typ 112/130, Höhe 112 - 130 cm, Breite 50 cm, Rohbauset für Steuerung Hytronic und HyTouch, Montagerahmen, Füsse verstellbar, Absperrventil ½"""
"Urinal Renova S, cleaneffect";"4064746027291";"";"3612 403";"4064746030840";"Urinoirelement Geberit- Duofix Typ 112/130, Höhe 112 - 130 cm, Breite 50 cm, Rohbauset für Steuerung Hytronic und HyTouch, Montagerahmen, Füsse verstellbar, Absperrventil ½"""
"Urinal Renova S, standard";"4064746028427";"";"3612 403";"4064746030840";"Urinoirelement Geberit- Duofix Typ 112/130, Höhe 112 - 130 cm, Breite 50 cm, Rohbauset für Steuerung Hytronic und HyTouch, Montagerahmen, Füsse verstellbar, Absperrventil ½"""
"Urinal Renova S, cleaneffect";"4064746028472";"";"3612 403";"4064746030840";"Urinoirelement Geberit- Duofix Typ 112/130, Höhe 112 - 130 cm, Breite 50 cm, Rohbauset für Steuerung Hytronic und HyTouch, Montagerahmen, Füsse verstellbar, Absperrventil ½"""
"Urinal Selva, standard";"4025416530282";"3421 212";"3612 404";"4064746030895";"Urinoirelement Geberit- Duofix, Montagerahmen, Füsse verstellbar, Wasseranschluss ½"", Breite 50 cm, Höhe 112 - 130 cm, für integrierte Steuerung, für Urinoirs Preda / Selva"
"Urinal Selva, standard";"4025416530312";"3421 213";"3612 404";"4064746030895";"Urinoirelement Geberit- Duofix, Montagerahmen, Füsse verstellbar, Wasseranschluss ½"", Breite 50 cm, Höhe 112 - 130 cm, für integrierte Steuerung, für Urinoirs Preda / Selva"
"Urinal Selva, standard";"4025416530404";"";"3612 404";"4064746030895";"Urinoirelement Geberit- Duofix, Montagerahmen, Füsse verstellbar, Wasseranschluss ½"", Breite 50 cm, Höhe 112 - 130 cm, für integrierte Steuerung, für Urinoirs Preda / Selva"
"Urinal Selva, standard";"4025416530091";"3421 211";"3612 407";"4064746030970";"Urinoirelement Geberit- Duofix, Montagerahmen, Füsse verstellbar, Wasseranschluss ½"", Breite 50 cm, Höhe 112 - 130 cm, für Urinoirsteuerungen, für Urinoirs Preda / Selva"
"Urinal Tamina, standard";"4025416696049";"3421 222";"3612 404";"4064746030895";"Urinoirelement Geberit- Duofix, Montagerahmen, Füsse verstellbar, Wasseranschluss ½"", Breite 50 cm, Höhe 112 - 130 cm, für integrierte Steuerung, für Urinoirs Preda / Selva"
"Urinal Tamina, standard";"4025416696070";"3421 223";"3612 404";"4064746030895";"Urinoirelement Geberit- Duofix, Montagerahmen, Füsse verstellbar, Wasseranschluss ½"", Breite 50 cm, Höhe 112 - 130 cm, für integrierte Steuerung, für Urinoirs Preda / Selva"
