ArtNr,Label,Hersteller,Size,Hahnloch,Ueberlauf,Ablage
1313 178.100.185,"Duschwanne Kaldewei Calima, 1500 x 700 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip",Kaldewei,,,,

1313 445.100.184,"Duschwanne Kaldewei Superplan, 100 x 120 x 2,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Secure Plus",Kaldewei,120 x 2.5,,,

1313 472.100.184,"Duschwanne Kaldewei Cayonoplan, 80 x 90 x 1,8 cm, Stahl, Schallisolierung Weiss Gleitschutz Secure Plus",Kaldewei,90 x 1.8,,,

1313 569.100.184,"Duschwanne Kaldewei Superplan Zero, 75 x 100 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Secure Plus",Kaldewei,100 x 2,,,

1313 245.100.000,"Duschwanne Kaldewei Conoflat, 100 x 100 x 3,2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,100 x 3.2,,,

1313 465.100.000,"Duschwanne Kaldewei Superplan, 80 x 170 x 2,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,170 x 2.5,,,

1313 441.100.000,"Duschwanne Kaldewei Superplan, 70 x 120 x 2,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,120 x 2.5,,,

1313 134.100.183,"Duschwanne Kaldewei Duschplan, 120 x 80 x 6,5 cm, Stahl, Schallisolierung, Ablauf Längsseite vorne rechts Umweltdeklaration EPD Weiss Gleitschutz Antislip",Kaldewei,80 x 6.5,,,

1313 318.100.000,"Duschwanne Kaldewei Superplan Classic, 120 x 100 x 2,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,100 x 2.5,,,

1313 608.100.000,"Duschwanne Kaldewei Superplan Zero, 75 x 170 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,170 x 2,,,

1313 133.100.000,"Duschwanne Kaldewei Duschplan, 100 x 80 x 6,5 cm, Stahl, Schallisolierung, Ablauf Längsseite vorne rechts Umweltdeklaration EPD Weiss",Kaldewei,80 x 6.5,,,

1313 562.100.184,"Duschwanne Kaldewei Superplan Zero, 75 x 80 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Secure Plus",Kaldewei,80 x 2,,,

1313 572.100.185,"Duschwanne Kaldewei Superplan Zero, 100 x 100 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Invisible Grip",Kaldewei,100 x 2,,,

1313 420.100.185,"Duschwanne Kaldewei Cayonoplan, 75 x 150 x 2,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Invisible Grip",Kaldewei,150 x 2.5,,,

1313 421.100.185,"Duschwanne Kaldewei Cayonoplan, 80 x 150 x 2,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Invisible Grip",Kaldewei,150 x 2.5,,,

