ArtNr,Label,Hersteller,Size,Hahnloch,Ueberlauf,Ablage
2110 305.105.000,"Waschtisch Alterna dinea, ohne Armaturenloch, 60 x 46 cm, mit Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Alterna,60 x 46,ohne,mit,
,,,,,,
2233 128.105.000,"Waschtisch Alterna elena, ohne Armaturenloch, 120 x 47 cm, mit Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Alterna,120 x 47,ohne,mit,
,,,,,,
2110 312.105.000,"Waschtisch Alterna dinea, Armaturenloch, 100 x 46 cm, mit Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Alterna,100 x 46,1,mit,
,,,,,,
2233 117.105.000,"Waschtisch Alterna elena, Armaturenloch, 100 x 47 cm, mit Überlauf, mit Abstellflächen, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Alterna,100 x 47,1,mit,
,,,,,,
2116 811.105.000,"Waschtisch Alterna modena, Armaturenloch, 60 x 45 cm, mit Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Alterna,60 x 45,1,mit,
,,,,,,
2116 907.105.000,"Waschtisch Alterna modena S, Armaturenloch, 100 x 50 cm, mit Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Alterna,100 x 50,1,mit,
,,,,,,
2233 126.105.000,"Waschtisch Alterna elena, ohne Armaturenloch, 100 x 47 cm, mit Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Alterna,100 x 47,ohne,mit,
,,,,,,
2233 113.105.000,"Waschtisch Alterna elena, Armaturenloch, 80 x 47 cm, mit Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Alterna,80 x 47,1,mit,
,,,,,,
2116 801.105.000,"Wandbecken Alterna modena, Armaturenloch, 45 x 34 cm, mit Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Alterna,45 x 34,1,mit,
,,,,,,
2233 121.105.000,"Waschtisch Alterna elena, ohne Armaturenloch, 50 x 47 cm, mit Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Alterna,50 x 47,ohne,mit,
,,,,,,
2233 131.105.000,"Waschtisch Alterna elena, mit 2 Armaturenlöcher, 100 x 47 cm, mit Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Alterna,100 x 47,2,mit,
,,,,,,
2116 905.105.000,"Waschtisch Alterna modena S, Armaturenloch, 80 x 50 cm, mit Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Alterna,80 x 50,1,mit,
,,,,,,
2110 308.105.000,"Waschtisch Alterna dinea, Armaturenloch, 80 x 46 cm, mit Überlauf, Abstellfläche links, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Alterna,80 x 46,1,mit,links
,,,,,,
2110 307.105.000,"Waschtisch Alterna dinea, ohne Armaturenloch, 80 x 46 cm, mit Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Alterna,80 x 46,ohne,mit,
,,,,,,
2231 630.105.000,"Waschtisch Alterna elena 65 x 35 cm, ohne Überlauf ohne Armaturenloch Befestigungsmaterial Weiss Cleaneffekt",Alterna,65 x 35,ohne,ohne,
,,,,,,
2116 803.105.000,"Wandbecken Alterna modena, ohne Armaturenloch, 45 x 34 cm, mit Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Alterna,45 x 34,ohne,mit,
,,,,,,
2110 313.105.000,"Waschtisch Alterna dinea, ohne Armaturenloch, 100 x 46 cm, mit Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Alterna,100 x 46,ohne,mit,
,,,,,,
2231 605.105.000,"Handwaschbecken Alterna elena, ohne Armaturenloch, 50 x 25 cm, ohne Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Alterna,50 x 25,ohne,ohne,
,,,,,,
2110 306.105.000,"Waschtisch Alterna dinea, Armaturenloch, 80 x 46 cm, mit Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Alterna,80 x 46,1,mit,
,,,,,,
2110 309.105.000,"Waschtisch Alterna dinea, ohne Armaturenloch, 80 x 46 cm, mit Überlauf, Abstellfläche links, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Alterna,80 x 46,ohne,mit,links
,,,,,,
2116 903.105.000,"Waschtisch Alterna modena S, Armaturenloch, 60 x 50 cm, mit Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Alterna,60 x 50,1,mit,
,,,,,,
2233 118.105.000,"Waschtisch Alterna elena, Armaturenloch, 120 x 47 cm, mit Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Alterna,120 x 47,1,mit,
,,,,,,
2233 124.105.000,"Waschtisch Alterna elena, ohne Armaturenloch, 80 x 47 cm, mit Überlauf, Abstellfläche links, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Alterna,80 x 47,ohne,mit,links
,,,,,,
2110 300.105.000,"Wandbecken Alterna dinea, Armaturenloch, 45 x 35 cm, mit Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Alterna,45 x 35,1,mit,
,,,,,,
2231 620.105.000,"Waschtisch Alterna elena 65 x 35 cm, ohne Überlauf Armaturenloch Befestigungsmaterial Weiss Cleaneffekt",Alterna,65 x 35,1,ohne,
,,,,,,
2110 314.105.000,"Waschtisch Alterna dinea, Armaturenloch, 120 x 46 cm, mit Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Alterna,120 x 46,1,mit,
,,,,,,
2233 112.105.000,"Waschtisch Alterna elena, Armaturenloch, 60 x 47 cm, mit Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Alterna,60 x 47,1,mit,
,,,,,,
2110 311.105.000,"Waschtisch Alterna dinea, ohne Armaturenloch, 80 x 46 cm, mit Überlauf, Abstellfläche rechts, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Alterna,80 x 46,ohne,mit,rechts
,,,,,,
2233 129.105.000,"Doppelwaschtisch Alterna elena, ohne Armaturenlöcher, 120 x 47 cm, mit Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Alterna,120 x 47,,mit,
,,,,,,
2233 127.105.000,"Waschtisch Alterna elena, ohne Armaturenloch, 100 x 47 cm, mit Überlauf, mit Abstellflächen, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Alterna,100 x 47,ohne,mit,
,,,,,,
2231 601.105.000,"Handwaschbecken Alterna elena, Armaturenloch, 40 x 23 cm, ohne Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Alterna,40 x 23,1,ohne,
,,,,,,
2233 132.105.000,"Waschtisch Alterna elena, mit 2 Armaturenlöcher, 120 x 47 cm, mit Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Alterna,120 x 47,2,mit,
,,,,,,
2110 310.105.000,"Waschtisch Alterna dinea, Armaturenloch, 80 x 46 cm, mit Überlauf, Abstellfläche rechts, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Alterna,80 x 46,1,mit,rechts
,,,,,,
2116 904.105.000,"Waschtisch Alterna modena S, ohne Armaturenloch, 60 x 50 cm, mit Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Alterna,60 x 50,ohne,mit,
,,,,,,
2116 906.105.000,"Waschtisch Alterna modena S, ohne Armaturenloch, 80 x 50 cm, mit Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Alterna,80 x 50,ohne,mit,
,,,,,,
2231 606.105.000,"Handwaschbecken Alterna elena, Armaturenloch, 45 x 35 cm, ohne Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Alterna,45 x 35,1,ohne,
